,url_news
0,https://uk.reuters.com/article/gas-conference-total/frances-total-sees-natural-gas-demand-far-outpacing-oil-idUKL1N1TR20R
1,https://uk.reuters.com/article/mexico-oil-imports/president-elect-lopez-obrador-slams-mexicos-pemex-for-crude-import-plan-idUKL2N1X315Y
2,https://uk.reuters.com/article/us-phillips-66-results/phillips-66s-profit-beats-on-higher-refining-margins-idUKKBN1KH19K
3,https://uk.reuters.com/article/phillips-66-results/update-2-u-s-refiner-phillips-66s-profit-beats-on-higher-refining-margins-idUKL3N1X649V
4,https://uk.reuters.com/article/hollyfrontier-results/update-2-hollyfrontier-misses-profit-estimates-hurt-by-outage-idUKL4N1UT409
5,https://uk.reuters.com/article/us-hollyfrontier-results/hollyfrontier-misses-profit-estimates-hurt-by-outage-idUKKBN1KN1EI
6,https://uk.reuters.com/article/us-marathon-pete-results/valero-marathon-beat-profit-estimates-as-refining-margins-rise-idUKKBN1KG1GA
7,https://uk.reuters.com/article/mexico-crude-tender/phillips-66-wins-tender-to-sell-u-s-bakken-crude-to-pemex-traders-idUKL2N1X2188
8,https://uk.reuters.com/article/us-gas-conference-total/frances-total-sees-natural-gas-demand-far-outpacing-oil-idUKKBN1JM026
9,https://uk.reuters.com/article/uk-saudi-khashoggi-total/total-ceo-to-attend-saudi-conference-edf-pulls-out-idUKKCN1MW2KQ
10,https://uk.reuters.com/article/petrobras-total/petrobras-may-partner-with-total-on-wind-solar-power-in-brazil-idUKE6N1SA00Q
11,https://uk.reuters.com/article/us-saudi-khashoggi-total/total-ceo-to-attend-saudi-conference-edf-pulls-out-idUKKCN1MW2KC
12,https://uk.reuters.com/article/saudi-khashoggi-total/total-ceo-to-attend-saudi-investment-conference-idUKFWN1X20VH
13,https://uk.reuters.com/article/uk-gas-conference-total/frances-total-sees-natural-gas-demand-far-outpacing-oil-idUKKBN1JM023
14,https://uk.reuters.com/article/marathon-pete-results/wrapup-1-valero-marathon-beat-profit-estimates-as-refining-margins-rise-idUKL4N1UM4HU
15,https://uk.reuters.com/article/marathon-pete-results/update-1-marathon-petroleum-plans-to-maximize-u-s-crude-input-idUKL1N1UM117
16,https://uk.reuters.com/article/us-brazil-oil/petrobras-total-ink-deals-for-brazil-government-share-of-pre-salt-oil-cargo-idUKKCN1LG2J6
17,https://uk.reuters.com/article/phillips-66-refinery-sweeny/update-1-phillips-66-to-expand-texas-natural-gas-liquids-project-idUKL4N1TF4KC
18,https://uk.reuters.com/article/valero-energy-results/update-1-valero-energy-reports-a-small-rise-in-quarterly-profit-idUKL3N1X5464
19,https://uk.reuters.com/article/us-reuters-editorial-leadership/reuters-editorial-leadership-idUSKBN1KE2SD
20,https://uk.reuters.com/article/phillips-66-results/update-1-phillips-66s-profit-beats-on-higher-refining-margins-idUKL4N1UN3ZB
21,https://uk.reuters.com/article/venezuela-usa-crude/citgo-valero-drive-up-u-s-purchases-of-venezuelan-oil-in-september-idUKL2N1WK1ED
22,https://uk.reuters.com/article/valero-energy-results/valero-energy-reports-a-small-rise-in-quarterly-profit-idUKL3N1X5457
23,https://uk.reuters.com/article/marathon-pete-results/corrected-update-1-marathon-petroleum-misses-profit-estimates-as-costs-rise-idUKL3N1XC438
24,https://uk.reuters.com/article/andeavor-us-ma-marathon-pete/marathon-petroleum-closes-23-bln-andeavor-deal-idUKL4N1WH45C
25,https://uk.reuters.com/article/phillips-66-results/update-3-phillips-66s-profit-beats-on-higher-refining-margins-idUKL1N1UN0NB
26,https://uk.reuters.com/article/us-marathon-pete-results/marathon-petroleum-misses-profit-estimates-as-costs-rise-idUKKCN1N64JZ
27,https://uk.reuters.com/article/marathon-pete-results/refiner-marathon-petroleum-posts-18-pct-fall-in-profit-idUKL3N1XC42Q
28,https://uk.reuters.com/article/hollyfrontier-results/hollyfrontier-posts-higher-second-quarter-profit-idUKL4N1UT3ZH
29,https://uk.reuters.com/article/phillips-66-results/u-s-refiner-phillips-66s-profit-more-than-doubles-idUKL4N1UN3XB
30,https://uk.reuters.com/article/marathon-pete-results/marathon-petroleum-plans-to-maximize-u-s-crude-input-idUKL1N1UM0MA
31,https://uk.reuters.com/article/us-total-brazil/brazil-denies-total-license-to-drill-amazon-basin-for-fourth-time-idUKKCN1IU2J5
32,https://uk.reuters.com/article/refinery-lawsuit-valero-texascity/update-1-workers-sue-valero-over-april-refinery-explosion-local-media-idUKL2N1T221G
33,https://uk.reuters.com/article/marathon-pete-results/wrapup-2-valero-marathon-beat-profit-estimates-as-refining-margins-rise-idUKL4N1UM57V
34,https://uk.reuters.com/article/refinery-operations-total/corrected-frances-total-plans-growth-along-us-gulf-coast-in-petrochemicals-idUKL2N1T616T
35,https://uk.reuters.com/article/valero-energy-results/valero-energy-reports-54-2-pct-rise-in-quarterly-profit-idUKL4N1UM48H
36,https://uk.reuters.com/article/phillips-66-results/u-s-refiner-phillips-66s-third-quarter-profit-surges-idUKL3N1X640R
37,https://uk.reuters.com/article/expressmart-ma-marathon-pete/marathon-petroleum-wins-u-s-antitrust-approval-to-buy-express-mart-with-conditions-idUKEMN45R7IR
38,https://uk.reuters.com/article/us-valero-energy-results/valero-to-run-refineries-up-to-98-percent-capacity-in-fourth-quarter-idUKKCN1MZ1IE
39,https://uk.reuters.com/article/us-valero-energy-results/valero-energy-reports-54-2-percent-rise-in-quarterly-profit-idUKKBN1KG1M9
40,https://uk.reuters.com/article/us-marathon-pete-results/marathon-petroleum-plans-to-maximize-u-s-crude-input-idUKKBN1KG220
41,https://uk.reuters.com/article/us-phillips-66-results/u-s-refiner-phillips-66s-profit-beats-on-higher-refining-margins-idUKKCN1N01HZ
